PWS ID,lat,lng,FIPS
TX0180026,31.7823798000,-97.5766862000,48035
CA2710011,36.4246870000,-121.3263187000,06053
MS0340014,31.6940509000,-89.1306124000,28067
SD4600010,44.9886537000,-101.2224805000,46137
NV0000082,36.5696826000,-115.6705757000,32003
MN1100005,44.7330546000,-93.9662153000,27019
CA3310046,33.6182921000,-117.2558540000,06065
OH2700316,38.8834518000,-82.3763778000,39053
AL0000573,34.0530094000,-85.9406745000,01055
KS2017308,37.7006858000,-97.3678624000,20173
WA5314100,46.5679400000,-117.1284985000,53075
AR0000148,35.4118224000,-90.2799276000,05035
TN0000540,36.2492237000,-88.1530946000,47079
GA0450002,33.5800000000,-85.0800000000,13045
IA5879063,41.1814193000,-91.1854273000,19115
MS0030007,31.1973959000,-91.0217703000,28005
CO0129834,40.7316433000,-106.2836373000,08057
LA1017006,32.5800948000,-93.8906698000,22017
CA4410013,37.0702838000,-122.0155491000,06087
CA5601117,34.4480495000,-119.2428890000,06111
NE3118104,42.2305588000,-97.0178236000,31179
MS0170015,34.9617604000,-89.8295315000,28033
TX2210011,32.4576239000,-99.8714811000,48441
NY0900223,44.9990367000,-73.3646298000,36019
CA1910038,34.0835771000,-118.0361736000,06037
NY0900215,44.9058729000,-73.8009813000,36019
ME0090750,44.5520105000,-69.6317121000,23011
UTAH03001,41.6743765000,-111.8329984000,49005
NE3103502,40.6189006000,-98.0972736000,31035
PA6200014,40.0230237000,-75.3151772000,42091
KY1060457,38.2225700000,-85.3552349000,21211
TX0030094,31.4465701000,-94.8721556000,48005
MA3274000,42.3930959000,-71.0884036000,25017
NC0410010,33.9215630000,-78.0202677000,37019
OK2001207,34.0187169000,-95.2663440000,40023
IL0110300,41.3163502000,-89.2965947000,17011
FL5360102,26.6235485000,-81.8770671000,12071
CA5010006,37.6413202000,-120.7604834000,06099
WA5343296,48.0887625000,-123.1726370000,53009
IL1170250,39.0856021000,-89.8875994000,17117
TX1520004,33.4373113000,-101.6434915000,48303
IL1190500,38.8152747000,-90.0980430000,17119
MA4018000,42.1260772000,-71.0438339000,25021
VA6137500,38.2454106000,-78.1108342000,51137
TX0610029,33.1192875000,-97.0255641000,48121
KY0650024,37.5717532000,-83.7068597000,21129
KY0150242,37.8345086000,-85.7319042000,21029
MO4010279,37.8287491000,-90.5446912000,29187
CA2710018,36.6216869000,-121.7993168000,06053
KY0220335,38.3000809000,-83.1740654000,21043
